run_id,repeat,system,query,concurrency,request_id,success,status,latency_ms,error
20260527-205309,1,spin,space,10,288,true,200,116.075,
20260527-205309,1,spin,space,10,286,true,200,123.004,
20260527-205309,1,spin,space,10,290,true,200,113.590,
20260527-205309,1,spin,space,10,289,true,200,122.447,
20260527-205309,1,spin,space,10,293,true,200,108.441,
20260527-205309,1,spin,space,10,291,true,200,116.511,
20260527-205309,1,spin,space,10,292,true,200,112.622,
20260527-205309,1,spin,space,10,287,true,200,128.219,
20260527-205309,1,spin,space,10,294,true,200,121.793,
20260527-205309,1,spin,space,10,295,true,200,132.167,
20260527-205309,1,spin,space,10,300,true,200,114.763,
20260527-205309,1,spin,space,10,302,true,200,113.865,
20260527-205309,1,spin,space,10,299,true,200,117.178,
20260527-205309,1,spin,space,10,298,true,200,120.314,
20260527-205309,1,spin,space,10,297,true,200,125.742,
20260527-205309,1,spin,space,10,296,true,200,129.225,
20260527-205309,1,spin,space,10,301,true,200,124.330,
20260527-205309,1,spin,space,10,303,true,200,126.974,
20260527-205309,1,spin,space,10,304,true,200,113.394,
20260527-205309,1,spin,space,10,308,true,200,120.271,
20260527-205309,1,spin,space,10,307,true,200,123.295,
20260527-205309,1,spin,space,10,306,true,200,125.656,
20260527-205309,1,spin,space,10,305,true,200,133.259,
20260527-205309,1,spin,space,10,311,true,200,131.011,
20260527-205309,1,spin,space,10,310,true,200,132.986,
20260527-205309,1,spin,space,10,309,true,200,137.162,
20260527-205309,1,spin,space,10,312,true,200,131.864,
20260527-205309,1,spin,space,10,313,true,200,126.772,
20260527-205309,1,spin,space,10,314,true,200,127.262,
20260527-205309,1,spin,space,10,315,true,200,123.677,
20260527-205309,1,spin,space,10,316,true,200,124.967,
20260527-205309,1,spin,space,10,321,true,200,112.125,
20260527-205309,1,spin,space,10,317,true,200,129.241,
20260527-205309,1,spin,space,10,324,true,200,110.057,
20260527-205309,1,spin,space,10,323,true,200,117.449,
20260527-205309,1,spin,space,10,320,true,200,122.905,
20260527-205309,1,spin,space,10,318,true,200,132.775,
20260527-205309,1,spin,space,10,319,true,200,124.165,
20260527-205309,1,spin,space,10,322,true,200,126.251,
20260527-205309,1,spin,space,10,327,true,200,160.400,
20260527-205309,1,spin,space,10,325,true,200,166.467,
20260527-205309,1,spin,space,10,331,true,200,158.640,
20260527-205309,1,spin,space,10,326,true,200,172.251,
20260527-205309,1,spin,space,10,330,true,200,162.721,
20260527-205309,1,spin,space,10,328,true,200,168.268,
20260527-205309,1,spin,space,10,329,true,200,176.573,
20260527-205309,1,spin,space,10,333,true,200,170.978,
20260527-205309,1,spin,space,10,332,true,200,171.766,
20260527-205309,1,spin,space,10,334,true,200,179.786,
20260527-205309,1,spin,space,10,337,true,200,111.877,
20260527-205309,1,spin,space,10,340,true,200,108.441,
20260527-205309,1,spin,space,10,335,true,200,122.874,
20260527-205309,1,spin,space,10,338,true,200,114.624,
20260527-205309,1,spin,space,10,339,true,200,113.223,
20260527-205309,1,spin,space,10,343,true,200,107.486,
20260527-205309,1,spin,space,10,342,true,200,117.230,
20260527-205309,1,spin,space,10,341,true,200,120.612,
20260527-205309,1,spin,space,10,336,true,200,141.970,
20260527-205309,1,spin,space,10,344,true,200,121.078,
20260527-205309,1,spin,space,10,345,true,200,121.434,
20260527-205309,1,spin,space,10,347,true,200,121.473,
20260527-205309,1,spin,space,10,349,true,200,121.223,
20260527-205309,1,spin,space,10,348,true,200,122.146,
20260527-205309,1,spin,space,10,346,true,200,127.223,
20260527-205309,1,spin,space,10,351,true,200,114.062,
20260527-205309,1,spin,space,10,350,true,200,126.205,
20260527-205309,1,spin,space,10,352,true,200,118.544,
20260527-205309,1,spin,space,10,353,true,200,130.720,
20260527-205309,1,spin,space,10,354,true,200,122.441,
20260527-205309,1,spin,space,10,358,true,200,109.399,
20260527-205309,1,spin,space,10,355,true,200,114.690,
20260527-205309,1,spin,space,10,360,true,200,107.817,
20260527-205309,1,spin,space,10,356,true,200,122.684,
20260527-205309,1,spin,space,10,361,true,200,111.809,
20260527-205309,1,spin,space,10,357,true,200,121.079,
20260527-205309,1,spin,space,10,359,true,200,120.950,
20260527-205309,1,spin,space,10,362,true,200,114.600,
20260527-205309,1,spin,space,10,364,true,200,95.421,
20260527-205309,1,spin,space,10,363,true,200,107.929,
20260527-205309,1,spin,space,10,366,true,200,120.805,
20260527-205309,1,spin,space,10,365,true,200,123.874,
